充電器グループID,施設ID,施設名,モデル,カテゴリー,利用月,日数,台数,稼働開始日,稼働終了日(手動),稼働時間(分),利用人数,利用回数,稼働率,1人あたりの利用分数,1回あたりの利用分数,平均利用頻度,ブランド,運営会社
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2022-12月,31.0,1.0,2022/12/08,,591.5833,1,2,1.3252,591.5833,295.7917,2.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-1月,31.0,1.0,2022/12/08,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-2月,28.0,1.0,2022/12/08,,433.2167,1,1,1.0744,433.2167,433.2167,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-3月,31.0,1.0,2022/12/08,,1194.4833,2,4,2.6758,597.2417,298.6208,2.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-4月,30.0,1.0,2022/12/08,,1418.35,3,5,3.2832,472.7833,283.67,1.6667,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-5月,31.0,1.0,2022/12/08,,1276.1667,3,3,2.8588,425.3889,425.3889,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-6月,30.0,1.0,2022/12/08,,2514.0667,5,8,5.8196,502.8133,314.2583,1.6,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-7月,31.0,1.0,2022/12/08,,1852.55,6,6,4.15,308.7583,308.7583,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-8月,31.0,1.0,2022/12/08,,178.2167,1,1,0.3992,178.2167,178.2167,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-9月,30.0,1.0,2022/12/08,,3895.6333,6,10,9.0177,649.2722,389.5633,1.6667,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-10月,31.0,1.0,2022/12/08,,2924.2833,7,10,6.5508,417.7548,292.4283,1.4286,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-11月,30.0,1.0,2022/12/08,,1340.6833,3,5,3.1034,446.8944,268.1367,1.6667,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2023-12月,31.0,1.0,2022/12/08,,3812.0667,6,8,8.5396,635.3444,476.5083,1.3333,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-1月,31.0,1.0,2022/12/08,,2208.1333,3,5,4.9465,736.0444,441.6267,1.6667,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-2月,29.0,1.0,2022/12/08,,2406.7833,5,8,5.7634,481.3567,300.8479,1.6,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-3月,31.0,1.0,2022/12/08,,2488.2667,5,16,5.5741,497.6533,155.5167,3.2,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-4月,30.0,1.0,2022/12/08,,1975.75,4,4,4.5735,493.9375,493.9375,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-5月,31.0,1.0,2022/12/08,,483.6333,1,1,1.0834,483.6333,483.6333,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-6月,30.0,1.0,2022/12/08,,3797.0333,7,8,8.7894,542.4333,474.6292,1.1429,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-7月,31.0,1.0,2022/12/08,,3720.9333,8,16,8.3354,465.1167,232.5583,2.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-8月,31.0,1.0,2022/12/08,,4993.6167,8,14,11.1864,624.2021,356.6869,1.75,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-9月,30.0,1.0,2022/12/08,,3746.7167,5,13,8.673,749.3433,288.209,2.6,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-10月,31.0,1.0,2022/12/08,,3190.5,7,10,7.1472,455.7857,319.05,1.4286,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-11月,30.0,1.0,2022/12/08,,3649.6833,5,12,8.4483,729.9367,304.1403,2.4,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2024-12月,31.0,1.0,2022/12/08,,4308.2667,5,13,9.6511,861.6533,331.4051,2.6,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-1月,31.0,1.0,2022/12/08,,3882.8667,5,18,8.6982,776.5733,215.7148,3.6,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-2月,28.0,1.0,2022/12/08,,1654.85,5,9,4.1043,330.97,183.8722,1.8,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-3月,31.0,1.0,2022/12/08,,1557.7167,2,3,3.4895,778.8583,519.2389,1.5,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-4月,30.0,1.0,2022/12/08,,947.1167,2,2,2.1924,473.5583,473.5583,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-5月,31.0,1.0,2022/12/08,,436.65,1,1,0.9782,436.65,436.65,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-6月,30.0,1.0,2022/12/08,,1057.3167,4,4,2.4475,264.3292,264.3292,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-7月,31.0,1.0,2022/12/08,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-8月,31.0,1.0,2022/12/08,,1396.4333,1,2,3.1282,1396.4333,698.2167,2.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-9月,30.0,1.0,2022/12/08,,955.8167,2,3,2.2125,477.9083,318.6056,1.5,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-10月,31.0,1.0,2022/12/08,,524.0167,2,2,1.1739,262.0083,262.0083,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-11月,30.0,1.0,2022/12/08,,526.9,2,2,1.2197,263.45,263.45,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2025-12月,31.0,1.0,2022/12/08,,1394.75,3,3,3.1244,464.9167,464.9167,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2026-1月,31.0,1.0,2022/12/08,,821.95,2,2,1.8413,410.975,410.975,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2026-2月,28.0,1.0,2022/12/08,,1369.4833,3,3,3.3965,456.4944,456.4944,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2026-3月,31.0,1.0,2022/12/08,,1367.2333,4,4,3.0628,341.8083,341.8083,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2026-4月,30.0,1.0,2022/12/08,,2376.15,5,5,5.5003,475.23,475.23,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2026-5月,31.0,1.0,2022/12/08,,1444.4833,3,3,3.2358,481.4944,481.4944,1.0,,株式会社プラゴ
3,3,宍戸ヒルズカントリークラブ,普通,目的地,2026-6月,30.0,1.0,2022/12/08,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-3月,31.0,1.0,2023/03/06,,250.1667,3,6,0.5604,83.3889,41.6944,2.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-4月,30.0,1.0,2023/03/06,,87.7333,1,3,0.2031,87.7333,29.2444,3.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-5月,31.0,1.0,2023/03/06,,1432.7,3,3,3.2095,477.5667,477.5667,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-6月,30.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-7月,31.0,1.0,2023/03/06,,2029.8167,4,5,4.5471,507.4542,405.9633,1.25,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-8月,31.0,1.0,2023/03/06,,117.4333,1,1,0.2631,117.4333,117.4333,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-9月,30.0,1.0,2023/03/06,,1236.0167,3,3,2.8611,412.0056,412.0056,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-10月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-11月,30.0,1.0,2023/03/06,,106.85,1,2,0.2473,106.85,53.425,2.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2023-12月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-1月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-2月,29.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-3月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-4月,30.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-5月,31.0,1.0,2023/03/06,,878.7,1,1,1.9684,878.7,878.7,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-6月,30.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-7月,31.0,1.0,2023/03/06,,1545.7333,3,7,3.4627,515.2444,220.819,2.3333,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-8月,31.0,1.0,2023/03/06,,2343.0,2,5,5.2487,1171.5,468.6,2.5,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-9月,30.0,1.0,2023/03/06,,373.6833,1,1,0.865,373.6833,373.6833,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-10月,31.0,1.0,2023/03/06,,320.2333,3,4,0.7174,106.7444,80.0583,1.3333,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-11月,30.0,1.0,2023/03/06,,244.45,2,4,0.5659,122.225,61.1125,2.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2024-12月,31.0,1.0,2023/03/06,,972.3833,3,4,2.1783,324.1278,243.0958,1.3333,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-1月,31.0,1.0,2023/03/06,,148.9167,1,1,0.3336,148.9167,148.9167,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-2月,28.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-3月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-4月,30.0,1.0,2023/03/06,,851.2,1,2,1.9704,851.2,425.6,2.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-5月,31.0,1.0,2023/03/06,,2856.7167,4,5,6.3995,714.1792,571.3433,1.25,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-6月,30.0,1.0,2023/03/06,,759.5167,1,1,1.7581,759.5167,759.5167,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-7月,31.0,1.0,2023/03/06,,3204.2333,4,11,7.1779,801.0583,291.2939,2.75,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-8月,31.0,1.0,2023/03/06,,2805.2833,4,6,6.2842,701.3208,467.5472,1.5,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-9月,30.0,1.0,2023/03/06,,2653.1833,3,3,6.1416,884.3944,884.3944,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-10月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-11月,30.0,1.0,2023/03/06,,862.9333,2,2,1.9975,431.4667,431.4667,1.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2025-12月,31.0,1.0,2023/03/06,,2842.6667,3,4,6.368,947.5556,710.6667,1.3333,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2026-1月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2026-2月,28.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2026-3月,31.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2026-4月,30.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2026-5月,31.0,1.0,2023/03/06,,1813.1333,4,5,4.0617,453.2833,362.6267,1.25,,株式会社プラゴ
4,4,旧軽井沢ホテル音羽ノ森,普通,目的地,2026-6月,30.0,1.0,2023/03/06,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-3月,31.0,2.0,2023/03/17,,2261.1667,4,9,2.5327,565.2917,251.2407,2.25,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-4月,30.0,2.0,2023/03/17,,3021.4833,3,6,3.4971,1007.1611,503.5806,2.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-5月,31.0,2.0,2023/03/17,,2897.7333,3,6,3.2457,965.9111,482.9556,2.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-6月,30.0,2.0,2023/03/17,,2406.8833,3,5,2.7857,802.2944,481.3767,1.6667,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-7月,31.0,2.0,2023/03/17,,3456.5167,2,7,3.8715,1728.2583,493.7881,3.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-8月,31.0,2.0,2023/03/17,,2501.9667,4,6,2.8024,625.4917,416.9944,1.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-9月,30.0,2.0,2023/03/17,,3359.6167,4,7,3.8884,839.9042,479.9452,1.75,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-10月,31.0,2.0,2023/03/17,,1518.4,2,3,1.7007,759.2,506.1333,1.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-11月,30.0,2.0,2023/03/17,,4383.25,4,9,5.0732,1095.8125,487.0278,2.25,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2023-12月,31.0,2.0,2023/03/17,,2861.2333,4,6,3.2048,715.3083,476.8722,1.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-1月,31.0,2.0,2023/03/17,,2995.6833,5,7,3.3554,599.1367,427.9548,1.4,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-2月,29.0,2.0,2023/03/17,,1467.2167,4,4,1.7567,366.8042,366.8042,1.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-3月,31.0,2.0,2023/03/17,,1212.2,2,3,1.3578,606.1,404.0667,1.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-4月,30.0,2.0,2023/03/17,,1850.2833,3,5,2.1415,616.7611,370.0567,1.6667,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-5月,31.0,2.0,2023/03/17,,976.9167,2,2,1.0942,488.4583,488.4583,1.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-6月,30.0,2.0,2023/03/17,,1424.6833,2,3,1.6489,712.3417,474.8944,1.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-7月,31.0,2.0,2023/03/17,,2032.1333,5,5,2.2761,406.4267,406.4267,1.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-8月,31.0,2.0,2023/03/17,,1535.0167,3,4,1.7193,511.6722,383.7542,1.3333,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-9月,30.0,2.0,2023/03/17,,1689.2,3,5,1.9551,563.0667,337.84,1.6667,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-10月,31.0,2.0,2023/03/17,,2300.5667,4,6,2.5768,575.1417,383.4278,1.5,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-11月,30.0,2.0,2023/03/17,,1688.0333,2,4,1.9537,844.0167,422.0083,2.0,,株式会社プラゴ
6,6,東名カントリークラブ,普通,目的地,2024-12月,31.0,2.0,2023/03/17,,2641.05,3,8,2.9582,880.35,330.1313,2.6667,,株式会社プラゴ
